,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,logo,course_organization_img,course_title_img
15,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,,https://www.ercom.fr/wp-content/uploads/2018/07/2000px-Amazon_Web_Services_Logo.svg_.png,https://i.ytimg.com/vi/o7wCAQkyz4M/maxresdefault.jpg
16,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,,https://www.ercom.fr/wp-content/uploads/2018/07/2000px-Amazon_Web_Services_Logo.svg_.png,https://i1.rgstatic.net/publication/358857395_AWS_Fundamentals_Migrating_to_the_Cloud/links/621909f62542ea3cacb02c89/largepreview.png
17,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,,https://download.logo.wine/logo/University_of_Toronto/University_of_Toronto-Logo.wine.png,https://blogs.ubc.ca/educationlibrarybooklists/files/2019/03/Aboriginal-Worldviews-and-Perspectives-in-the-Classroom-768x994.jpg
18,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Irvine_logo.jpg,http://www.ebooksz.net/wp-content/uploads/2016/09/Writing-Academic-English-4th-Edition.jpg
19,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,,https://d12dc99qm3izfr.cloudfront.net/uploads/badge/asset/165/uiuc_logo.jpg,https://freetutsdownload.net/wp-content/uploads/2021/11/XDPSPECIALIZATIONcs-fundamentals.jpeg
20,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,,https://wearetechwomen.com/wp-content/uploads/2018/09/ISC%C2%B2_logo_vectorized.svg-1024x486.png,https://www.guardian-electronics.com/wp-content/uploads/2020/03/Access-Control-Miami-banner.jpg
21,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://coursera-course-photos.s3.amazonaws.com/82/f043f04cd411e5aad6dd6dd2e8b945/coursera_accounting_analytics_8x8.png
22,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://www.pcg-services.com/wp-content/uploads/2016/10/Managerial-Accounting-Principles-Help-Decision-Making.png
23,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://i.pinimg.com/736x/cf/20/de/cf20de9974f4ea80d77e6f92601b5093.jpg
24,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,https://panel.conectimed.com/wp-content/uploads/2020/07/recomendaciones_dm2_semi_2020_v3.2.1-2-2048x1430.jpg
25,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://coatconnect-files.s3.amazonaws.com/Dev/Cover-f275d533-b137-404b-9eb9-709541b062a9-Screen%20Shot%202020-03-24%20at%208.24.01%20PM.jpg?AWSAccessKeyId=AKIAJTMHAFAXQLGGIHMA&Expires=1708531085&Signature=p5jm9HNCBA5Jltrag2vaV0JQ2TU%3D
26,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,,https://i.pinimg.com/originals/ae/74/cf/ae74cf180aae5ea110b5cb59ce82ab0a.png,http://www.ebook3000.com/upimg/allimg/160716/0151590.jpg
27,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,,https://purepng.com/public/uploads/large/purepng.com-ibm-logologobrand-logoiconslogos-251519939176ka7y8.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~advanced-data-science-ibm/XDP~SPECIALIZATION!~advanced-data-science-ibm.jpeg
28,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,,http://icef.hse.ru/data/2014/05/30/1325381522/1logo_hse_NEW.jpg,https://www.edgeverve.com/wp-content/uploads/2019/03/Advanced-ML-thumb.jpg
29,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://static.accupass.com/eventbanner/2011190938371100520077.jpg
30,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,,https://study-eu.s3.amazonaws.com/uploads/university/erasmus-university-rotterdam-261-logo.png,https://downloadly.ir/wp-content/uploads/2022/12/Advanced-Valuation-and-Strategy-MA-Private-Equity-and-Venture-Capital-Coursera.jpg
31,Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,http://www.ebook3000.com/upimg/allimg/141101/2040520.jpg
32,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://cps-static.rovicorp.com/3/JPG_1080/MI0000/963/MI0000963333.jpg?partner=allrovi.com
33,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,,https://logos-download.com/wp-content/uploads/2017/11/University_of_Virginia_logo_blue.png,http://2.bp.blogspot.com/-3cI3SviQKns/VY7JBZXg1ZI/AAAAAAAAALQ/epPXQaDFm74/s1600/Agile-Development-Diagram.jpg
34,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,,https://logos-download.com/wp-content/uploads/2017/11/University_of_Virginia_logo_blue.png,https://i2.wp.com/seanvantyne.com/wp-content/uploads/2017/12/designThinking_LeanAgile.png?resize=2000%2C905
35,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,,https://2.bp.blogspot.com/-OGnptJMOQGU/Wbrpxyz7bYI/AAAAAAAAq3g/46qS-M4zkSkJ5mwOwfwbOZYHr6mzjY3UwCLcBGAs/s1600/Atlassian-logo-2017.png,https://res.infoq.com/news/2015/10/atlassian-jira-7-platform/en/resources/JIRA-Software-Agile-Board.png
36,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,,https://icagilestore.blob.core.windows.net/production-useruploadedfiles/logo_company_18.png,https://cdn.my-mooc.com/media/cache/catalog_product_360x200/mooc/logo/28528e987d74137060d0d7a577663201631de5ed.jpg
37,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,https://camo.githubusercontent.com/987a1b373ee0de8b057cacb456d4ef6a769c1a3a/68747470733a2f2f64336e6a6a636268626f6a626f742e636c6f756466726f6e742e6e65742f6170692f7574696c69746965732f76312f696d61676570726f78792f68747470733a2f2f636f7572736572612d636f757273652d70686f746f732e73332e616d617a6f6e6177732e636f6d2f66622f3433343430306439616331316535616662666133353966333461653566302f6c6f676f332e706e673f6175746f3d666f726d6174253243636f6d7072657373266470723d31
38,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,,https://logos-download.com/wp-content/uploads/2019/06/Stanford_University_Logo.png,https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191016135223/What-is-Algorithm_.jpg
39,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,,https://content.energage.com/company-images/DV19/SE79838/SE79838_logo_orig.png,https://i.ytimg.com/vi/z8jUyboLsIo/maxresdefault.jpg
40,American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://image.slideserve.com/1208349/american-contract-law-in-a-comparative-perspective-n.jpg
41,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://covers.openlibrary.org/b/id/8136344-L.jpg
42,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,,https://www.bourses-etudiants.ma/wp-content/uploads/2018/05/cbs_logo_vertical_blue_rgb-378x628.png,http://neurorelay.com/wp-content/uploads/2015/01/Neuromarketing_Ramsoy.jpg
43,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Irvine_logo.jpg,https://image4.slideserve.com/263516/introduction-to-internet-of-things-iot-n.jpg
44,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,https://www.coursya.com/wp-content/uploads/2023/01/analysing-numeric-and-digital-literacies-specialization.jpeg
45,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://static.turbosquid.com/Preview/2014/05/19__14_05_54/HumanMaleAnatomy_9.jpge542de04-ca09-4766-babc-d94ec2fe6c1eZoom.jpg
46,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,http://radiologykey.com/wp-content/uploads/2016/03/B9781455740772000167_f016-008-9781455740772.jpg
47,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://d1j63owfs0b5j3.cloudfront.net/tutorial/finalImage/418-1463669171724.gif
48,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://3-im.guokr.com/cxl3z2Mg8wQPN1PYFSdg7XciYbNN5tk8cNU5sTwklVqwBAAAsAQAAEpQ.jpg
49,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,,https://logos-download.com/wp-content/uploads/2018/04/Vanderbilt_University_logo_colour.png,http://www.appsted.com/blog/wp-content/uploads/2018/09/android-developers1.png
50,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,,http://www.acumen-pr.net/wp-content/uploads/2016/10/The-UoE-logo.jpg,https://i.thenile.io/r1000/9781780645636.jpg?r=5fdcb5398f706
51,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,,https://logos-download.com/wp-content/uploads/2019/06/Stanford_University_Logo.png,https://www.bahrainthisweek.com/wp-content/uploads/2019/11/ASP3-696x670.jpg
52,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,,https://www.cakex.org/sites/default/files/logo-unam-corto.png,https://www.mitzon.com/wp-content/uploads/2022/01/Anticorrupcion_FINAL-1.jpg
53,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,,https://i2.wp.com/mlsm.man.dtu.dk/wp-content/uploads/2018/10/technical-university-of-denmark-dtu-19-logo.png?fit=733%2C238,http://mostlyscience.com/wp-content/uploads/2014/06/img2.jpg
54,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,,https://purepng.com/public/uploads/large/purepng.com-ibm-logologobrand-logoiconslogos-251519939176ka7y8.png,https://cdn2.hubspot.net/hubfs/697348/Articles/GDD-AppliedDataScience/applieddatascience.jpg#keepProtocol
55,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,,https://purepng.com/public/uploads/large/purepng.com-ibm-logologobrand-logoiconslogos-251519939176ka7y8.png,https://images.credly.com/images/60f2e1e1-1b74-4dc0-a24b-cd08b460c12d/Applied_Data_Science_Capstone.png
56,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://www.perlego.com/_next/image?url=https:%2F%2Fwww.perlego.com%2Fbooks%2FRM_Books%2Fpackt_pub_vpnckweg%2F9781789951929_500_750.jpg&w=1024&q=10
57,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://courses.javacodegeeks.com/wp-content/uploads/2020/02/python_datascience_thumbnail_machinelearning_1x1.jpg
58,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://image.slidesharecdn.com/appliedplottingchartingdatarepresentationinpython2-171121031846/95/applied-plotting-charting-data-representation-in-python-pt-2-13-638.jpg?cb=1511235666
59,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,,https://www.austral.edu.ar/impactoaustral/wp-content/uploads/2020/01/logo-vertical-5000px.png,https://www.agapea.com/RC-Libros/Aprende-a-programar-con-PYTHON-i6n19059448.jpg
60,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,https://rogarsol.com/wp-content/uploads/2015/07/aprender.jpg
61,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,https://i.pinimg.com/474x/41/e0/5a/41e05aa56e19f67b0bd31458082e0593.jpg
62,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://www.conceptdraw.com/How-To-Guide/picture/google-cloud-platform-diagram7.png
63,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://mktdplp102eada.azureedge.net/org-9349cbc43c0a4ecf969561c41094c2b7/5570ab40-7d97-eb11-b1ac-002248569f13/2CV7Sry92OEbr9XLg7SB9oZJkFfec6jG8uMDPH48Bs8!
64,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ce/1af10b4c144dbeabd0e430dd37d9a9/Container-Engine.jpg?auto=format%2Ccompress&dpr=1&w=300&h=300&fit=crop
65,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Arizona_State_University_seal.svg/1200px-Arizona_State_University_seal.svg.png,https://amarebe.com/wp-content/uploads/2021/02/opp-901x600.jpg
66,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,,https://www.hhhlibrary.org/sites/default/files/2020-09/moma.png,https://i.pinimg.com/originals/66/6f/30/666f3094296daaeb16c901977d4084a9.png
67,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,,https://www.hhhlibrary.org/sites/default/files/2020-09/moma.png,https://i.pinimg.com/736x/3e/da/b5/3edab500d520697622f5780867f22016.jpg
68,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,,https://www.commonfield.org/images/60108b51ad1ab141eb34b14049cc2f1e752f2b635c18c.jpg?w=300&h=300&c=1,https://i.pinimg.com/originals/e0/12/4c/e0124c8aa06d9359e1ebdc180f1e15cb.jpg
69,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,,http://www.gltfoundation.com/wp-content/uploads/2017/09/bocconi_1.png,https://i.pinimg.com/originals/8b/d2/ab/8bd2ab5b78f1db10381f44ffc2f335ef.jpg
70,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,,https://logos-download.com/wp-content/uploads/2017/11/University_of_Virginia_logo_blue.png,https://www.ionos.mx/startupguide/fileadmin/StartupGuide/Schaubilder/plan-de-gestion-proyecto.png
71,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,,http://www.acumen-pr.net/wp-content/uploads/2016/10/The-UoE-logo.jpg,https://lifeboat.com/blog.images/astrobiology-and-the-search-for-extraterrestrial-like-life2.jpg
72,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,,https://vignette.wikia.nocookie.net/althistory/images/4/48/Escudo_de_la_Pontificia_Universidad_Cat%C3%B3lica_de_Chile.svg.png/revision/latest?cb=20161203005123&path-prefix=es,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~enfermedades-no-transmisibles/XDP~COURSE!~enfermedades-no-transmisibles.jpeg
73,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,,https://france-ameriques.org/wp-content/uploads/2019/06/1200px-The_University_of_California_Davis.svg_-1024x1024.png,http://blog.memorialhermann.org/wp-content/uploads/2017/04/Signs-of-ASD.jpg
74,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,,http://3dprint.com/wp-content/uploads/2015/06/3dp_fusion360_autodesk_logo.png,https://www.autodesk.in/content/dam/autodesk/www/slp/cad-cam/what-is-cad-cam-used-for-large-1920x1086.jpg
75,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,,http://3dprint.com/wp-content/uploads/2015/06/3dp_fusion360_autodesk_logo.png,https://datafloq.com/wp-content/uploads/2022/08/autodesk-cad-cam-cae-for-mechanical-engineering-img.jpg
76,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,,http://3dprint.com/wp-content/uploads/2015/06/3dp_fusion360_autodesk_logo.png,https://courseconnected.com/wp-content/uploads/Autodesk-Certified-Professional-AutoCAD-for-Design-and-Drafting-Exam-Prep.png
77,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,,http://3dprint.com/wp-content/uploads/2015/06/3dp_fusion360_autodesk_logo.png,https://i.ytimg.com/vi/N-KHsrls1Nc/maxresdefault.jpg
78,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,,https://cdn.freeyork.org/wp-content/uploads/2017/06/1200px-National_Taiwan_University_seal.svg_.png,https://i1.rgstatic.net/publication/355446817_BIM_Fundamentals_for_Engineers-Certificate/links/61715d2ac10b387664ca3d55/largepreview.png
79,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,,https://www.shorttermprograms.com/images/cache/600_by_314/uploads/institution-logos/university-of-amsterdam.png,https://d138zd1ktt9iqe.cloudfront.net/media/seo_landing_files/basic-statistics-formulas-1619542052.png
80,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Santa_Cruz_logo.jpg,https://thumbs.dreamstime.com/z/bayesian-analysis-example-model-vector-illustration-labeled-graph-lines-decision-making-approach-drawing-evidence-based-172276190.jpg
81,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Santa_Cruz_logo.jpg,https://image3.slideserve.com/6772535/slide6-l.jpg
82,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,,https://www.tun.com/courses/wp-content/uploads/2019/12/Google-Spectrum-Sharingonline-education-370x297.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~google-cbrs-cpi-training/XDP~COURSE!~google-cbrs-cpi-training.jpeg
83,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,,http://www.clipartbest.com/cliparts/yik/669/yik669a6T.jpg,https://i.pinimg.com/originals/48/ca/77/48ca771875084c0f90562d70925ecf96.jpg
84,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,,https://content.energage.com/company-images/DV19/SE79838/SE79838_logo_orig.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sustainable-business-change-agent/XDP~SPECIALIZATION!~sustainable-business-change-agent.jpeg
85,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,,https://i.pinimg.com/originals/97/82/56/9782560e8f618ce945662e82d72f380a.jpg,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781501167973/becoming-a-sports-agent-9781501167973_hr.jpg
86,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,,https://media.cdn.gradconnection.com/uploads/UCTtransparent_round_logo.png,https://i.pinimg.com/originals/9f/4a/33/9f4a338b35b834fdda1d636910d15088.png
87,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://www.cengage.com/covers/imageServlet?productISBN13=9780324661170&image_type=LRGFC&catalog=cengage
88,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,http://www.bitc.ie/wp-content/uploads/2016/08/Chart_of_UN_Sustainable_Development_Goals.png
